symptoms,predicted_condition,followup_questions
"insomnia, retardation, diminished_ability_to_think, loss_of_interest, fatigue, withdrawal_from_social_life",Major Depressive Disorder,"['How do you usually cope with retardation?', 'How long have you experienced fatigue?', 'Is there a specific event that triggered your withdrawal from social life?', 'On a scale of 1 to 10, how severe is your diminished ability to think?', 'Is there a specific event that triggered your loss of interest?']"
"retardation, fatigue, appetite_change, withdrawal_from_social_life, diminished_ability_to_think",Major Depressive Disorder,"['Do you notice fatigue getting worse over time?', 'How do you usually cope with appetite change?', 'Does anything help relieve your diminished ability to think?', 'Does retardation affect your daily functioning?', 'Is withdrawal from social life interfering with your relationships or work?']"
"feeling_of_worthless, fatigue, retardation, appetite_change, loss_of_interest",Major Depressive Disorder,"['Do you notice feeling of worthless getting worse over time?', 'Is there a specific event that triggered your loss of interest?', 'Have you had professional help for retardation before?', 'Have you had professional help for appetite change before?', 'Does fatigue affect your daily functioning?']"
"retardation, withdrawal_from_social_life, loss_of_interest, insomnia, fatigue, appetite_change",Major Depressive Disorder,"['How do you usually cope with loss of interest?', 'Does insomnia affect your daily functioning?', 'Do you notice retardation getting worse over time?', 'On a scale of 1 to 10, how severe is your appetite change?', 'Does anything help relieve your withdrawal from social life?']"
"spending_a_lot_time_recovering_from_the_substance, withdrawal_symptoms, inability_to_control, strong_carvings, giving_up_important_activites",Substance Use Disorder,"['How do you usually cope with inability to control?', 'Is there a specific event that triggered your withdrawal symptoms?', 'On a scale of 1 to 10, how severe is your strong carvings?', 'Do you notice spending a lot time recovering from the substance getting worse over time?', 'Does giving up important activites affect your daily functioning?']"
"inability_to_control, neglecting_responsibilites, strong_carvings, giving_up_important_activites, tolerance, withdrawal_symptoms",Substance Use Disorder,"['Does anything help relieve your strong carvings?', 'On a scale of 1 to 10, how severe is your neglecting responsibilites?', 'Have you had professional help for inability to control before?', 'Does anything help relieve your tolerance?', 'How long have you experienced giving up important activites?']"
"strong_carvings, tolerance, inability_to_control, physical_and_psychological_problems, spending_a_lot_time_recovering_from_the_substance",Substance Use Disorder,"['Do you notice strong carvings getting worse over time?', 'Do you notice inability to control getting worse over time?', 'Have you had professional help for physical and psychological problems before?', 'Is spending a lot time recovering from the substance interfering with your relationships or work?', 'Does anything help relieve your tolerance?']"
"physical_and_psychological_problems, inability_to_control, withdrawal_symptoms, neglecting_responsibilites, tolerance",Substance Use Disorder,"['Does physical and psychological problems affect your daily functioning?', 'On a scale of 1 to 10, how severe is your neglecting responsibilites?', 'Do you notice inability to control getting worse over time?', 'Do you notice tolerance getting worse over time?', 'Does anything help relieve your withdrawal symptoms?']"
"spending_a_lot_time_recovering_from_the_substance, neglecting_responsibilites, tolerance, physical_and_psychological_problems",Substance Use Disorder,"['How do you usually cope with tolerance?', 'Does anything help relieve your spending a lot time recovering from the substance?', 'How do you usually cope with physical and psychological problems?', 'Is neglecting responsibilites interfering with your relationships or work?']"
"excessive_talking, poor_organizational_skill, difficulty_sustaining_attention, fidgeting, inability_to_stay_seated, interrupting_others",ADHD (Attention Deficit Hyperactivity Disorder),"['Is there a specific event that triggered your inability to stay seated?', 'Is there a specific event that triggered your excessive talking?', 'Is there a specific event that triggered your difficulty sustaining attention?', 'On a scale of 1 to 10, how severe is your poor organizational skill?', 'Does fidgeting affect your daily functioning?']"
"inability_to_stay_seated, poor_organizational_skill, excessive_talking, difficulty_being_patient, fidgeting",ADHD (Attention Deficit Hyperactivity Disorder),"['Is there a specific event that triggered your fidgeting?', 'Have you talked to anyone about your excessive talking?', 'How do you usually cope with poor organizational skill?', 'Is inability to stay seated interfering with your relationships or work?', 'How long have you experienced difficulty being patient?']"
"difficulty_being_patient, difficulty_sustaining_attention, poor_organizational_skill, forgetfulness_in_daily_activities, frequently_losing_items, inability_to_stay_seated",ADHD (Attention Deficit Hyperactivity Disorder),"['Do you notice poor organizational skill getting worse over time?', 'Do you notice difficulty being patient getting worse over time?', 'Have you talked to anyone about your difficulty sustaining attention?', 'Have you had professional help for forgetfulness in daily activities before?', 'On a scale of 1 to 10, how severe is your frequently losing items?']"
"difficulty_being_patient, poor_organizational_skill, interrupting_others, fidgeting, frequently_losing_items",ADHD (Attention Deficit Hyperactivity Disorder),"['Does anything help relieve your frequently losing items?', 'Is there a specific event that triggered your difficulty being patient?', 'Is there a specific event that triggered your poor organizational skill?', 'How do you usually cope with fidgeting?', 'How do you usually cope with interrupting others?']"
"fidgeting, inability_to_stay_seated, difficulty_sustaining_attention, excessive_talking, frequently_losing_items, difficulty_being_patient",ADHD (Attention Deficit Hyperactivity Disorder),"['How do you usually cope with inability to stay seated?', 'Do you notice frequently losing items getting worse over time?', 'Have you talked to anyone about your difficulty sustaining attention?', 'Do you notice difficulty being patient getting worse over time?', 'Is there a specific event that triggered your fidgeting?']"
"change_body_image, eating_large_amounts_of_food, mood_changes, significant_weight_loss, vomiting",Eating Disorder,"['Does anything help relieve your vomiting?', 'On a scale of 1 to 10, how severe is your significant weight loss?', 'Is mood changes interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your change body image?', 'Do you notice eating large amounts of food getting worse over time?']"
"change_body_image, significant_weight_loss, vomiting, mood_changes, eating_large_amounts_of_food",Eating Disorder,"['How long have you experienced vomiting?', 'Do you notice mood changes getting worse over time?', 'How do you usually cope with eating large amounts of food?', 'Is change body image interfering with your relationships or work?', 'Does significant weight loss affect your daily functioning?']"
"eating_large_amounts_of_food, vomiting, change_body_image, extreme_restriction_of_food_intake",Eating Disorder,"['Have you had professional help for change body image before?', 'Is there a specific event that triggered your vomiting?', 'On a scale of 1 to 10, how severe is your eating large amounts of food?', 'Have you talked to anyone about your extreme restriction of food intake?']"
"change_body_image, mood_changes, significant_weight_loss, vomiting, eating_large_amounts_of_food, extreme_restriction_of_food_intake",Eating Disorder,"['Does anything help relieve your vomiting?', 'Is there a specific event that triggered your mood changes?', 'How long have you experienced extreme restriction of food intake?', 'Does anything help relieve your change body image?', 'How do you usually cope with eating large amounts of food?']"
"significant_weight_loss, vomiting, extreme_restriction_of_food_intake, eating_large_amounts_of_food",Eating Disorder,"['How do you usually cope with significant weight loss?', 'Have you talked to anyone about your extreme restriction of food intake?', 'Have you talked to anyone about your vomiting?', 'Does eating large amounts of food affect your daily functioning?']"
"sleep_disturbance, feeling_of_detachment, difficulty_concentrating, avoidance_of_reminders_of_the_trauma",Post-Traumatic Stress Disorder (PTSD),"['Does avoidance of reminders of the trauma affect your daily functioning?', 'Is there a specific event that triggered your sleep disturbance?', 'How long have you experienced feeling of detachment?', 'How do you usually cope with difficulty concentrating?']"
"feeling_of_detachment, difficulty_concentrating, avoidance_of_reminders_of_the_trauma, hypervigilance",Post-Traumatic Stress Disorder (PTSD),"['Is feeling of detachment interfering with your relationships or work?', 'How long have you experienced difficulty concentrating?', 'Have you had professional help for hypervigilance before?', 'Have you had professional help for avoidance of reminders of the trauma before?']"
"difficulty_concentrating, hypervigilance, nightmares, avoidance_of_reminders_of_the_trauma",Post-Traumatic Stress Disorder (PTSD),"['How do you usually cope with difficulty concentrating?', 'Is nightmares interfering with your relationships or work?', 'Do you notice avoidance of reminders of the trauma getting worse over time?', 'How long have you experienced hypervigilance?']"
"sleep_disturbance, hypervigilance, difficulty_concentrating, avoidance_of_reminders_of_the_trauma",Post-Traumatic Stress Disorder (PTSD),"['Does difficulty concentrating affect your daily functioning?', 'Is hypervigilance interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your avoidance of reminders of the trauma?', 'Does sleep disturbance affect your daily functioning?']"
"nightmares, difficulty_concentrating, feeling_of_detachment, avoidance_of_reminders_of_the_trauma",Post-Traumatic Stress Disorder (PTSD),"['How do you usually cope with nightmares?', 'Is there a specific event that triggered your feeling of detachment?', 'Does anything help relieve your difficulty concentrating?', 'Is there a specific event that triggered your avoidance of reminders of the trauma?']"
"wandering, loss_of_identity, emotional_numbness, sudden_onset_of_amnesia",Dissociative Amnesia,"['Does wandering affect your daily functioning?', 'Does anything help relieve your sudden onset of amnesia?', 'Does anything help relieve your emotional numbness?', 'Is loss of identity interfering with your relationships or work?']"
"trouble_remembering_daily_tasks, loss_of_identity, wandering, emotional_numbness, sudden_onset_of_amnesia",Dissociative Amnesia,"['Do you notice trouble remembering daily tasks getting worse over time?', 'How do you usually cope with sudden onset of amnesia?', 'Is there a specific event that triggered your wandering?', 'Do you notice emotional numbness getting worse over time?', 'On a scale of 1 to 10, how severe is your loss of identity?']"
"trouble_remembering_daily_tasks, gaps_in_memory_for_long_periods_of_time, wandering, confusion, emotional_numbness, loss_of_identity",Dissociative Amnesia,"['On a scale of 1 to 10, how severe is your emotional numbness?', 'Do you notice wandering getting worse over time?', 'Have you had professional help for trouble remembering daily tasks before?', 'Does anything help relieve your gaps in memory for long periods of time?', 'Does loss of identity affect your daily functioning?']"
"trouble_remembering_daily_tasks, loss_of_identity, wandering, confusion, emotional_numbness, gaps_in_memory_for_long_periods_of_time",Dissociative Amnesia,"['How do you usually cope with loss of identity?', 'Does gaps in memory for long periods of time affect your daily functioning?', 'Is there a specific event that triggered your trouble remembering daily tasks?', 'Do you notice confusion getting worse over time?', 'Have you had professional help for emotional numbness before?']"
"wandering, gaps_in_memory_for_long_periods_of_time, emotional_numbness, confusion",Dissociative Amnesia,"['Does anything help relieve your confusion?', 'Is gaps in memory for long periods of time interfering with your relationships or work?', 'Have you talked to anyone about your wandering?', 'Have you talked to anyone about your emotional numbness?']"
"difficulty_controlling_anger, recurrent_suicidal_behavior,self_harm, identity_disturbance, unstable_interpersonal_relationships, chronic_feelings_of_emptiness",Borderline Personality Disorder,"['Does identity disturbance affect your daily functioning?', 'Is there a specific event that triggered your difficulty controlling anger?', 'On a scale of 1 to 10, how severe is your unstable interpersonal relationships?', 'On a scale of 1 to 10, how severe is your chronic feelings of emptiness?', 'Does anything help relieve your recurrent suicidal behavior,self harm?']"
"difficulty_controlling_anger, identity_disturbance, unstable_interpersonal_relationships, intense_anger",Borderline Personality Disorder,"['How do you usually cope with unstable interpersonal relationships?', 'Is there a specific event that triggered your intense anger?', 'Is difficulty controlling anger interfering with your relationships or work?', 'Does identity disturbance affect your daily functioning?']"
"identity_disturbance, unstable_interpersonal_relationships, difficulty_controlling_anger, chronic_feelings_of_emptiness, intense_anger, recurrent_suicidal_behavior,self_harm",Borderline Personality Disorder,"['Have you had professional help for intense anger before?', 'Is there a specific event that triggered your difficulty controlling anger?', 'Does chronic feelings of emptiness affect your daily functioning?', 'How long have you experienced unstable interpersonal relationships?', 'Does recurrent suicidal behavior,self harm affect your daily functioning?']"
"recurrent_suicidal_behavior,self_harm, identity_disturbance, intense_anger, chronic_feelings_of_emptiness",Borderline Personality Disorder,"['Does intense anger affect your daily functioning?', 'Have you had professional help for identity disturbance before?', 'Have you had professional help for chronic feelings of emptiness before?', 'Does anything help relieve your recurrent suicidal behavior,self harm?']"
"recurrent_suicidal_behavior,self_harm, difficulty_controlling_anger, chronic_feelings_of_emptiness, unstable_interpersonal_relationships",Borderline Personality Disorder,"['Do you notice chronic feelings of emptiness getting worse over time?', 'Have you talked to anyone about your unstable interpersonal relationships?', 'Have you talked to anyone about your recurrent suicidal behavior,self harm?', 'Is difficulty controlling anger interfering with your relationships or work?']"
"significant_weight_loss, eating_large_amounts_of_food, fear_of_gaining_weight, change_body_image",Eating Disorder,"['Have you talked to anyone about your fear of gaining weight?', 'Is there a specific event that triggered your eating large amounts of food?', 'Have you had professional help for significant weight loss before?', 'Have you talked to anyone about your change body image?']"
"significant_weight_loss, eating_large_amounts_of_food, change_body_image, fear_of_gaining_weight",Eating Disorder,"['Have you had professional help for change body image before?', 'How long have you experienced significant weight loss?', 'On a scale of 1 to 10, how severe is your fear of gaining weight?', 'Does anything help relieve your eating large amounts of food?']"
"vomiting, social_isolation, changes_in_body_weight_shape, change_body_image",Eating Disorder,"['On a scale of 1 to 10, how severe is your changes in body weight shape?', 'How long have you experienced social isolation?', 'Do you notice vomiting getting worse over time?', 'How long have you experienced change body image?']"
"eating_large_amounts_of_food, social_isolation, vomiting, changes_in_body_weight_shape, change_body_image, fear_of_gaining_weight",Eating Disorder,"['Have you had professional help for changes in body weight shape before?', 'Have you had professional help for social isolation before?', 'Does change body image affect your daily functioning?', 'Do you notice vomiting getting worse over time?', 'Does anything help relieve your fear of gaining weight?']"
"change_body_image, vomiting, changes_in_body_weight_shape, social_isolation, significant_weight_loss, eating_large_amounts_of_food",Eating Disorder,"['Is there a specific event that triggered your eating large amounts of food?', 'Does social isolation affect your daily functioning?', 'How long have you experienced changes in body weight shape?', 'How long have you experienced significant weight loss?', 'Have you had professional help for vomiting before?']"
"low_self-esteem, difficulty_speaking, physical_symptoms_in_social_settings, avoidance_of_social_activity, intense_fear_of_social_situations",Social Anxiety Disorder,"['On a scale of 1 to 10, how severe is your avoidance of social activity?', 'How long have you experienced difficulty speaking?', 'How long have you experienced intense fear of social situations?', 'Is low self-esteem interfering with your relationships or work?', 'Does anything help relieve your physical symptoms in social settings?']"
"difficulty_making_eye_contact, avoidance_of_social_activity, difficulty_speaking, physical_symptoms_in_social_settings, low_self-esteem",Social Anxiety Disorder,"['How long have you experienced avoidance of social activity?', 'How long have you experienced difficulty speaking?', 'Have you talked to anyone about your low self-esteem?', 'How long have you experienced physical symptoms in social settings?', 'Is there a specific event that triggered your difficulty making eye contact?']"
"low_self-esteem, difficulty_speaking, difficulty_making_eye_contact, physical_symptoms_in_social_settings",Social Anxiety Disorder,"['On a scale of 1 to 10, how severe is your physical symptoms in social settings?', 'How do you usually cope with difficulty making eye contact?', 'How long have you experienced low self-esteem?', 'Is there a specific event that triggered your difficulty speaking?']"
"low_self-esteem, difficulty_speaking, difficulty_making_eye_contact, physical_symptoms_in_social_settings",Social Anxiety Disorder,"['Is low self-esteem interfering with your relationships or work?', 'Do you notice physical symptoms in social settings getting worse over time?', 'On a scale of 1 to 10, how severe is your difficulty making eye contact?', 'Is difficulty speaking interfering with your relationships or work?']"
"avoidance_of_social_activity, difficulty_making_eye_contact, low_self-esteem, difficulty_speaking, physical_symptoms_in_social_settings, intense_fear_of_social_situations",Social Anxiety Disorder,"['Does intense fear of social situations affect your daily functioning?', 'Have you had professional help for difficulty making eye contact before?', 'Have you talked to anyone about your difficulty speaking?', 'Have you talked to anyone about your physical symptoms in social settings?', 'Does avoidance of social activity affect your daily functioning?']"
"dizziness, hot _flashes, nausea, shortness_of_breath",Panic Disorder,"['Does anything help relieve your nausea?', 'Have you talked to anyone about your hot  flashes?', 'Is dizziness interfering with your relationships or work?', 'Is shortness of breath interfering with your relationships or work?']"
"rapid_heartbeat, dizziness, shortness_of_breath, trembling, nausea, hot _flashes",Panic Disorder,"['How do you usually cope with nausea?', 'Is hot  flashes interfering with your relationships or work?', 'Have you talked to anyone about your dizziness?', 'Do you notice shortness of breath getting worse over time?', 'Does anything help relieve your trembling?']"
"hot _flashes, nausea, dizziness, rapid_heartbeat",Panic Disorder,"['Is there a specific event that triggered your nausea?', 'Does anything help relieve your rapid heartbeat?', 'Is hot  flashes interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your dizziness?']"
"trembling, hot _flashes, shortness_of_breath, nausea",Panic Disorder,"['Does shortness of breath affect your daily functioning?', 'Do you notice trembling getting worse over time?', 'Have you talked to anyone about your hot  flashes?', 'On a scale of 1 to 10, how severe is your nausea?']"
"shortness_of_breath, nausea, hot _flashes, rapid_heartbeat",Panic Disorder,"['Does shortness of breath affect your daily functioning?', 'Is there a specific event that triggered your rapid heartbeat?', 'Does anything help relieve your hot  flashes?', 'Is there a specific event that triggered your nausea?']"
"emotional_instability, chronic_feelings_of_emptiness, difficulty_controlling_anger, identity_disturbance, extreme_sensitivity_to_criticism",Borderline Personality Disorder,"['Does emotional instability affect your daily functioning?', 'Have you talked to anyone about your chronic feelings of emptiness?', 'On a scale of 1 to 10, how severe is your difficulty controlling anger?', 'Is there a specific event that triggered your extreme sensitivity to criticism?', 'Does identity disturbance affect your daily functioning?']"
"identity_disturbance, extreme_sensitivity_to_criticism, chronic_feelings_of_emptiness, intense_fear_of_abandonment",Borderline Personality Disorder,"['Is intense fear of abandonment interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your extreme sensitivity to criticism?', 'Have you had professional help for chronic feelings of emptiness before?', 'Is there a specific event that triggered your identity disturbance?']"
"chronic_feelings_of_emptiness, emotional_instability, difficulty_controlling_anger, intense_fear_of_abandonment, extreme_sensitivity_to_criticism",Borderline Personality Disorder,"['Is there a specific event that triggered your difficulty controlling anger?', 'On a scale of 1 to 10, how severe is your extreme sensitivity to criticism?', 'Is chronic feelings of emptiness interfering with your relationships or work?', 'Does emotional instability affect your daily functioning?', 'How long have you experienced intense fear of abandonment?']"
"chronic_feelings_of_emptiness, intense_fear_of_abandonment, extreme_sensitivity_to_criticism, difficulty_controlling_anger, identity_disturbance, emotional_instability",Borderline Personality Disorder,"['Have you had professional help for extreme sensitivity to criticism before?', 'Does anything help relieve your intense fear of abandonment?', 'How long have you experienced emotional instability?', 'On a scale of 1 to 10, how severe is your difficulty controlling anger?', 'Have you talked to anyone about your identity disturbance?']"
"chronic_feelings_of_emptiness, difficulty_controlling_anger, identity_disturbance, extreme_sensitivity_to_criticism",Borderline Personality Disorder,"['Do you notice difficulty controlling anger getting worse over time?', 'Is there a specific event that triggered your extreme sensitivity to criticism?', 'Does anything help relieve your identity disturbance?', 'Have you talked to anyone about your chronic feelings of emptiness?']"
"feeling_of_detachment, avoidance_of_reminders_of_the_trauma, angry_outbursts, sleep_disturbance, hypervigilance",Post-Traumatic Stress Disorder (PTSD),"['On a scale of 1 to 10, how severe is your hypervigilance?', 'Does feeling of detachment affect your daily functioning?', 'Does anything help relieve your angry outbursts?', 'Is there a specific event that triggered your sleep disturbance?', 'Do you notice avoidance of reminders of the trauma getting worse over time?']"
"flashbacks, sleep_disturbance, hypervigilance, feeling_of_detachment",Post-Traumatic Stress Disorder (PTSD),"['Is flashbacks interfering with your relationships or work?', 'Have you had professional help for feeling of detachment before?', 'Do you notice hypervigilance getting worse over time?', 'On a scale of 1 to 10, how severe is your sleep disturbance?']"
"sleep_disturbance, flashbacks, feeling_of_detachment, avoidance_of_reminders_of_the_trauma, angry_outbursts",Post-Traumatic Stress Disorder (PTSD),"['Have you talked to anyone about your avoidance of reminders of the trauma?', 'Have you had professional help for sleep disturbance before?', 'Do you notice feeling of detachment getting worse over time?', 'On a scale of 1 to 10, how severe is your angry outbursts?', 'How long have you experienced flashbacks?']"
"angry_outbursts, feeling_of_detachment, avoidance_of_reminders_of_the_trauma, flashbacks, sleep_disturbance, hypervigilance",Post-Traumatic Stress Disorder (PTSD),"['How long have you experienced sleep disturbance?', 'Does hypervigilance affect your daily functioning?', 'Is flashbacks interfering with your relationships or work?', 'Does angry outbursts affect your daily functioning?', 'How long have you experienced feeling of detachment?']"
"avoidance_of_reminders_of_the_trauma, flashbacks, angry_outbursts, feeling_of_detachment",Post-Traumatic Stress Disorder (PTSD),"['How long have you experienced avoidance of reminders of the trauma?', 'Does anything help relieve your angry outbursts?', 'Is feeling of detachment interfering with your relationships or work?', 'Do you notice flashbacks getting worse over time?']"
"abnormal_behavior, disorganized_thinking, hallucination, flact_affect, delusion, lack_of_motivation",Schizophrenia,"['Does anything help relieve your disorganized thinking?', 'How do you usually cope with abnormal behavior?', 'Is there a specific event that triggered your hallucination?', 'Does delusion affect your daily functioning?', 'Have you had professional help for flact affect before?']"
"flact_affect, disorganized_thinking, abnormal_behavior, delusion, hallucination, lack_of_motivation",Schizophrenia,"['How long have you experienced lack of motivation?', 'How long have you experienced flact affect?', 'Is abnormal behavior interfering with your relationships or work?', 'How do you usually cope with hallucination?', 'How long have you experienced delusion?']"
"disorganized_thinking, lack_of_motivation, flact_affect, delusion, hallucination, abnormal_behavior",Schizophrenia,"['Is there a specific event that triggered your hallucination?', 'Is disorganized thinking interfering with your relationships or work?', 'How do you usually cope with abnormal behavior?', 'Is there a specific event that triggered your delusion?', 'How long have you experienced flact affect?']"
"delusion, hallucination, abnormal_behavior, disorganized_thinking, flact_affect, lack_of_motivation",Schizophrenia,"['Do you notice delusion getting worse over time?', 'Have you talked to anyone about your hallucination?', 'Is flact affect interfering with your relationships or work?', 'How long have you experienced disorganized thinking?', 'Is there a specific event that triggered your abnormal behavior?']"
"flact_affect, hallucination, disorganized_thinking, delusion, abnormal_behavior, lack_of_motivation",Schizophrenia,"['Do you notice delusion getting worse over time?', 'Do you notice flact affect getting worse over time?', 'Is lack of motivation interfering with your relationships or work?', 'How long have you experienced disorganized thinking?', 'Have you talked to anyone about your abnormal behavior?']"
"persisitent_worry_about_losing_attachement_figures, reluctance, panic_symptoms_during_sepration, excessive_distress_when_anticipating_sepration",Separation Anxiety Disorder,"['Do you notice persisitent worry about losing attachement figures getting worse over time?', 'How do you usually cope with panic symptoms during sepration?', 'Does reluctance affect your daily functioning?', 'Have you had professional help for excessive distress when anticipating sepration before?']"
"excessive_distress_when_anticipating_sepration, panic_symptoms_during_sepration, persisitent_worry_about_losing_attachement_figures, nightmares_involving_sepration_themes",Separation Anxiety Disorder,"['How do you usually cope with persisitent worry about losing attachement figures?', 'Is excessive distress when anticipating sepration interfering with your relationships or work?', 'Does anything help relieve your nightmares involving sepration themes?', 'Does anything help relieve your panic symptoms during sepration?']"
"persisitent_worry_about_losing_attachement_figures, clingy_behavior_and_need_for_constant_reassuarance, nightmares_involving_sepration_themes, reluctance, panic_symptoms_during_sepration",Separation Anxiety Disorder,"['How long have you experienced clingy behavior and need for constant reassuarance?', 'Have you talked to anyone about your reluctance?', 'Have you talked to anyone about your nightmares involving sepration themes?', 'Does persisitent worry about losing attachement figures affect your daily functioning?', 'Have you talked to anyone about your panic symptoms during sepration?']"
"excessive_distress_when_anticipating_sepration, persisitent_worry_about_losing_attachement_figures, reluctance, nightmares_involving_sepration_themes, panic_symptoms_during_sepration",Separation Anxiety Disorder,"['Have you talked to anyone about your excessive distress when anticipating sepration?', 'On a scale of 1 to 10, how severe is your persisitent worry about losing attachement figures?', 'Does anything help relieve your panic symptoms during sepration?', 'Have you talked to anyone about your nightmares involving sepration themes?', 'Does anything help relieve your reluctance?']"
"persisitent_worry_about_losing_attachement_figures, excessive_distress_when_anticipating_sepration, clingy_behavior_and_need_for_constant_reassuarance, nightmares_involving_sepration_themes, reluctance, panic_symptoms_during_sepration",Separation Anxiety Disorder,"['Does anything help relieve your panic symptoms during sepration?', 'How long have you experienced nightmares involving sepration themes?', 'On a scale of 1 to 10, how severe is your reluctance?', 'Have you talked to anyone about your persisitent worry about losing attachement figures?', 'Have you had professional help for excessive distress when anticipating sepration before?']"
"low_energy, thoughts_of_death, irritability, loss_of_interest, physical_aches_and_pains, low_mood",Depression,"['Does loss of interest affect your daily functioning?', 'How do you usually cope with thoughts of death?', 'Does low energy affect your daily functioning?', 'Have you had professional help for irritability before?', 'Have you talked to anyone about your physical aches and pains?']"
