Symptoms,similar_one,similar_two,similar_three,similar_four,similar_five,similar_six,similar_seven,similar_eight,similar_nine,similar_ten
excessive_worry,can't_stop_worrying,my_mind_won't_stop_racing,worry_about_everything,constantly_anxious_about_things,overthinking_all_the_time,feel_nervous_for_no_reason,always_expecting_the_worst,stress_over_little_things,always_tense_and_worried,my_anxiety_is_out_of_control
restlessness,can't_sit_still,feel_constantly_on_edge,always_fidgeting,feel_uneasy_all_the_time,can't_relax_no_matter_what,always_pacing_around,too_jittery_to_focus,feel_like_i_need_to_keep_moving,my_body_won't_calm_down,get_agitated_for_no_reason
inability_to_control,can't_stop_myself,have_no_control_over_it,keep_doing_it_even_when_i_don't_want_to,feels_like_i'm_losing_control,can't_resist_the_urge,give_in_everytime,can't_manage_my_impulses,do_things_without_thinking,feel_powerless_to_stop,happens_before_i_can_think_it_through
social_isolation,avoid_people,staying_away_from_everyone,don't_feel_like_talking_to_anyone,cut_myself_off_from_others,prefer_to_be_alone_all_the_time,don't_go_out,feel_disconnected_from_everyone,withdrawn_from_my_friends_and_family,isolate_myself_on_purpose,spend_most_of_my_time_alone
difficulty_being_patient,get_impatient_easily,can't_wait_for_things,lose_patience_quickly,waiting_makes_me_anxious,get_frustrated_when_things_are_slow,can't_tolerate_delays,hate_waiting_for_anything,get_annoyed_when_things_take_time,rush_through_everything,feel_irritated_when_i_have_to_wait
intense_anger,get_extremely_anger,lose_control_when_i'm_mad,my_anger_feels_explosive,can’t_calm_down_when_i'm_upset,have_violent_outbrusts,get_mad_over_small_things,feel_rage_inside_me,break_things_when_angry,temper_scares_people,go_from_0_to_100_in_seconds
feeling_detached_from_oneself,feel_like_i'm_not_myself,feel_numb_inside,it's_like_i'm_watching_myself_from_the_outside,den't_feel_real,feel_disconnect_from_my_body,feel_empty_and_hollow,it's_like_i'm_on_autopilot,don't_recognize_who_i_am,feel_like_i'm_floating_outside_my_body,feel_like_a_stranger_to_myself
feeling_easily_tired,get_tired_really_quickly,even_small_tasks_wear_me_out,have_no_stamina,always_running_out_of_energy,get_exhausted_doing_simple_things,can't_keep_up_with_anything,feel_drained_all_the_time,run_out_of_energy_fast,get_worn_out_very_easily,have_zero_endurance
intrusive_memories,keep_reliving_past_events,memories_pop_into_my_head_out_of_nowhere,can't_stop_thinking_about_what_happened,unwanted_thoughts_about_the_past_keep_coming_back,flaskbacks_hit_me_randomly,can't_block_out_bad_memories,past_keeps_haunting_me,old_memories_just_won't_leave_me_alone,painful_memories_come_back_when_i_least_expect,it's_like_i'm_stuck_in_the_past
fear_of_gaining_weight,scared_of_gaining_weight,obsess_over_not_getting_fat,avoid_eating_so_i_don't_put_on _weight,gaining_weight_terrifies_me,constantly_check_if_i've_gained_weight,feel_guilty_after_eating_beacuse_of_weight_gain,panic_at_the_thought_of_gaining_weight,restrict_food_to_stay_thin,hate_the_idea_of_getting_heavier,always_worried_i'll_get_fat
nightmares,keep_having_bad_dreams,wake_up_from_scary_dreams_often,my_sleep_is_disturbed_by_terrifying_dreams,have_disturbing_dreams_every_night,dream_about_traumatic_events,scary_dreams,my_dreams_are_full_of_fear_and_panic,relive_horrible_events_in_my_sleep,sleep_gives_me_terrifying_flashbaks,get_violent
excessive_fear_of_mistakes,terrified_of_making_mistakes,overthink_everything_to_avoid_errors,feel_anxious_if_things_aren't_perfect,hate_being_wrong,can't_handle_failure,double_check_everthing_out_of_fear,worry_too_much_about_messing_things_up,even_small_mistakes_make_me_panic,avoid_tasks_in_case_i_fail,feel_like_i_must_do_everthing_perfectly
unpredictable_behavior,i_act_without_thinking_sometimes,my_behavior_changes_without_warning,people_say_i'm_hard_predict,i_switch_moods,i_do_things_i_later_regret,can't_always_control_how_i_react,act_impulsively_a_lot,my_action_surprise_even_me,i_don't_know_why_i_do_certain_things,have_sudden_changes_in_how_i_behave
chest_pain,tightness_in_chest,chest_feels_heavy,feel_pressure_in_chest,sharp_pain_in_chest,aching_feeling_in_chest,burning_sensation_in_chest,feel_like_my_chest_is_being_squeezed,pain_around_heart_area,uncomfortable_feeling_in_chest,chest_discomfort
giving_up_important_activites,stopped_doing_things_i_used_to_enjoy,lost_interest_in_my_hobbies,avoiding_things_that_used_to_matter,neglecting_personal_interests,quitting_important_commitments,withdrew_from_social_activities,not_taking_part_in_daily_routines,skipping_events_i_usually_attend,no_motivation_for_things_i_cared_about,pulled_back_from_responsibilities
fatigue,feeling_tired_all_the_time,no_energy,completely_drained,worn_out,exhausted,constant_tiredness,burned_out,feeling_weak,always_sleepy,can't_get_out_of_bed
hearing_voices,hear_things_that_aren't_there,voices_in_my_head,hearning_someone_talking_when_no_one_is_around,people_talking_to_me_in_my_mind,unreal_voices_in_my_ears,hearing_whispers,hearing_things_no_one_else_can,voices_tell_me_what_to_do,conversations_in_my_head,i_hear_people_that_others_don't_hear
presence_of_two_or_more_distinct_identities,feel_like_different_people_at_different_times,have_multiple_personalities,sometimes_i_become_a_different_version_of_myself,switch_between_different_identities,different_sides_of_me_that_take_control,act_like_a_different_person,personality_changes_suddenly,have_inner_voices_with_their_own_names,sometimes_i_don't_feel_like_myself,people_say_i_act_like_someone_else
sadness,feel_sad,feeling_down,unhappy,heartbroken,low_mood,feel_gloomy,miserable,feel_emotionally_heavy,feeling_empty,crying_a_lot
mood_changes,mood_swings_a_lot,have_frequent_mood_shifts,feel_emotionally_unstable,emotions_change_suddenly,go_from_happy_to_sad_quickly,dealing_with_unpredictable_moods,feel_emotionally_up_and_down,mood_keeps_changing,having_emotional_fluctuation,can't_control_my_mood_swings
hot _flashes,sudden_heat_in_body,feeling_overheated,sudden_warmth_in_face,body_gets_hot_all_of_sudden,flushed_and_sweaty_moments,heat_rushes_through_me,sudden_temperature_rise,feeling_of_burning_up,heat_waves_in_my_body,uncontrollable_body_heat
increased_activity,over_energetic,hyperactive,can't_sit_still,doing_too_many_things_at_once,constant_movement,unusual_level_of_energy,excessive_physical_activity,always_on_the_go,nonstop_activity,buzzing_with_energy
feeling_of_detachment,feeling_disconnected,emotionally_numb,not_feeling_like_myself,detached_from_reality,feeling_like_an_outsider_to_my_own_life,watching_life_like_a_movie,feeling_empty_inside,not_present_mentally,zoned_out_all_the_time,like_i'm_floating_outside_my_body
feeling_on_edge,feeling_tense,always_alert,can't_relax,nervous_all_the_time,easily_startled,wired_and_anxious,constantly_worried,like_something_bad_about_to_happen,high_strung,feeling_jittery
angry_outbursts,sudden_anger,losing_temper_easily,explosive_anger,yelling_for_no_reason,irrational_anger,frequent_outbrusts,quick_to_anger,uncontrolled_rage,shouting_often,can't_control_anger
flat_affect,lack_of_emotional_expression,emotionless_face,blank_expressiom,no_reaction_to_things,feeling_numb,dull_emotions,no_facial_expression,emotionally_flat,unresponsive_emotions,not_showing_feelings
physical_symptoms_in_social_settings,nausea_in_public,sweating_in_social_events,shaky_hands_when_around_people,blushing_during_conversations,rapid_heartbeat_in_social_situations,trembling_in_social_settings,feeling_dizzy_when_socializing,shortness_of_breath_in_public,stomach_pain_before_social_events,physical_discomfor_around_people
nausea,feeling_like_throwing_up,want_to_vomit,sick_to_my_stomach,queasy,feeling_nauseous,upset_stomach,need_to_puke,vomiting_sensation,churning_stomach,gagging_feeling
sleep_problem_from_obsessive_thinking,can't_sleep_because_of_overthinking,mind_racing_at_night,overthinking_keeps_me_awake,thinking_too_much_to_fall_asleep,intrusive_thoughts_at_bedtime,unable_to_sleep_due_to_constant_thoughts,obsessive_thoughts_at_night,brain_won't_shut_off,restless_mind_at_night,thought_loops_interfering_with_sleep
mind_going_blank,can't_think_clearly,blank_mind,thoughts_disappear_suddenly,mental_fog,mind_just_shuts_off,unable_to_focus,unable_to_think,everthing_goes_blank,zoning_out_mentally,brain_freeze
emotional_instability,mood_swings,unstable_emotions,can't_control_my_feelings,sudden_emotional_changes,feeling_emotionally_unbalanced,crying_and_laughing_randomly,overreacting_emotionally,emotionally_unpredictable,too_sensitive_emotionally,frequent_emotional_ups_and_downs
avoidance_of_situations_that_trigger_obsession,avoiding_things_that_cause_obsessive_thoughts,stay_away_from_triggers,avoiding_situations_that_make_me_obsess,fear_of_being_triggered,can't_face_certain_situations,avoid_people_or_places_that_cause_obsessive_thinking,keep_away_from_obsession_triggers,won't_do_things_that_start_my_compulsions,skipping_events_that_trigger_my_thoughts,avoiding_anything_that_sets_off_my_OCD
changes_in_body_weight_shape,body_shapes_looks_different,weight_going_up_and_down,sudden_body_changes,change_in_how_my_body_looks,unsual_weight_fluctuation,noticing_body_shape_changes,body_doesn't_look_the_same,my_weight_keeps_changing,body_image_is_shifting,shape_of_my_body_is_different_now
difficulty_controlling_anger,can't_keep_my_anger_in_check,lose_control_when_i_get_mad,get_angry_too_easily,my_temper_is_hard_to_control,i_explode_when_i'm_upset,have_trouble_calming_down,lash_out_quickly,get_frustrated_and_angry_fast,hard_for_me_to_manage_my_anger,feel_overwhelmed_by_anger
muscle_tension,muscles_feel_tight,have_stiff_muscles,muscle_aches_and_tightness,feel_muscle_strain,muscles_are_tense_and_sore,have_knots_in_my_muscles,muscle_cramps,feeling_of_muscle_stiffness,muscle_tightness_all_over,body_feels_rigid
interrupting_others,talk_over_people,cut_people_off_when_they_speak,can't_wait_for_my_turn_to_talk,often_interrupt_conversations,blurt_things_out,jump_into_talks_too_quickly,don't_let_others_finish,speak_out_of_turn,break_into_conversations,can't_hold_back_my_words
significant_weight_loss,losing_a_lot_of_weight,rapid_weight_drop,clothes_are_too_loose,sudden_weight_loss,getting_thinner_fast,unexplained_weight_loss,dropping_pounds_quickly,losing_weight_without_trying,weight_keeps_going_down,significant_drop_in_body_mass
excessive_talking,talk_too_much,can't_stop_talking,chatter_nonstop,speak_excessively,talking_more_than_usual,bladder_a_lot,overly_talkative,never_stop_talking,dominate_conversations,ramble_on_and_on
forgetfulness_in_daily_activities,keep_forgetting_things,forget_simple_tasks,always_losing_track_of_stuff,can't_remember_daily_things,forget_what_i_was_doing,forgetful_all_the_time,miss_important_things,have_memory_lapses,can't_recall_everyday_tasks,forget_appointments_and_chores
trembling,shaking,hands_won't_stop_shaking,body_trembling,shivering_uncontrollably,my_hands_feel_jittery,i_have_uncontrollable_shakes,feel_shaky_all_over,body_quivers,shaky_hands_and_legs,can't_stop_trembling
inability_to_stay_seated,cannot_stay_still,restless_in_chair,trouble_sitting_still,unable_to_remain_seated,fidgety_when_seated,unable_to_sit_still,feeling_restless_while_sitting,constant_movement_while_sitting,need_to_get_up_often,unable_to_hold_still_in_chair
using_more_of_the_substance,increased_substance_use,consuming_high_doses,overusing_the_substance,heavy_substance_use,taking_more_than_before,escalating_drug_use,using_substance_more_often,frequent_drug_use,higher_intake_of_substance,compulsive_substance_use
rapid_speech,talking_very_fast,fast_speech_pattern,speaking_quickly,hurried_speech,pressured_speech,nonstop_talking,racing_thoughts_with_speech,fast_paced_speaking,excessive_verbal_speed,difficulty_slowing_down_speech
eating_large_amounts_of_food,binge_eating,overeating,consuming_excessive_food,uncontrollable_eating,eating_too_much,compulsive_overeating,frequent_bingeing,eating_until_uncomfortably_full,loss_of_control_when_eating,excessive_food_intake
"recurrent_suicidal_behavior,self_harm",repeated_suicidal_thoughts,frequent_self_harming,ongoing_suicidal_behavior,self_injury,self_harm,suicidal_ideation_with_self_harm,recurring_self_destructive_behavior,repeated_attempts_of_self_harm,suicidal_behavior_patterns,self_harming_thoughts_and_actions
chronic_feelings_of_emptiness,persistent_feeling_of_emptiness,constant_inner_void,emotional_numbness,feeling_empty_inside,ongoing_sense_of_nothingness,deep_feeling_of_blankness,inner_emotional_void,lasting_sense_of_emptiness,hollow_feelings,long_term_emotional_emptiness
strong_cravings,intense_urges,powerful_desires,uncontrollable_cravings,overwhelming_urge,compulsive_wanting,irresistible_desire,strong_impulse,desperate_need,intense_craving_feelings,powerful_urge_to_use
continued_use_despite_social_problems,ongoing_use_ignoring_social_issues,substance_use_despite_relationship_problems,using_despite_social_conflicts,continued_addiction_impacting_social_life,keeping_use_even_with_social_trouble,persistent_use_despite_family_issues,not_stopping_use_due_to_social_consequences,ignoring_social_damage_from_use,drug_use_affecting_relationships,continued_dependency_despite_social_problems
flashbacks,traumatic_flashbacks,vivid_past_recollections,distressing_memories,sudden_memory_intrusions,past_event_replays,intense_memory_recalls,unwanted_trauma_flashbacks,vivid_trauma_recall,intrusive_flashback_episodes,re-experiencing_trauma
easily_distracted,attention_drift,lack_of_focus,trouble_concentrating,short_attention_span,hard_to_stay_focused,difficulty_paying_attention,mind_wanders_often,gets_distracted_quickly,focus_problems,distracted_easily
difficulty_speaking,trouble_speaking,speech_difficulty,unable_to_speak_clearly,hard_to_form_words,struggling_with_speech,problems_talking,hesitant_speech,speech_impairment,slurred_speech,can't_express_thoughts
abnormal_behavior,unusual_behavior,odd_behavior,strange_actions,bizarre_conduct,unpredictable_behavior,erratic_behavior,inappropriate_behavior,socially_unacceptable_behavior,weird_behavior,out_of_character_behavior
memory_loss,forgetfulness,trouble_remembering,short_term_memory_loss,long_term_memory_loss,impaired_memory,loss_of_recollection,gaps_in_memory,can't_remember_things,poor_memory,cognitive_memory_issues
lack_of_motivation,no_motivation,feeling_unmotivated,low_drive,difficulty_getting_started,no_interest_in_doing_things,hard_to_get_motivated,not_feeling_driven,can't_start_tasks,absence_of_initiative,feeling_lazy
avoidance_of_reminders_of_the_trauma,avoiding_trauma_triggers,avoiding_reminders_of_trauma,staying_away_from_triggers,avoiding_past_event_reminders,fear_of_trauma_memories,escape_from_traumatic_thoughts,avoiding_places_linked_to_trauma,avoiding_people_linked_to_trauma,not_talking_about_trauma,trying_to_forget_trauma
severe_anxiety,intense_anxiety,overwhelming_anxiety,extreme_anxiousness,crippling_anxiety,uncontrollable_worry,paralyzing_anxiety,constant_anxiety,high_level_anxiety,severe_nervousness,unbearable_anxiety
negative_changes,behavioral_decline,emotional_decline,mood_swings,personality_shift,loss_of_interest,mental_decline,social_withdrawal,reduced_functioning,worsening_symptoms,change_in_behavior
time_consuming_rituals,repetitive_routines,excessive_rituals,compulsive_habits,lengthy_routines,obsessive_behaviors,daily_repetitions,time_wasting_tasks,rigid_schedules,uncontrollable_rituals,fixed_behavior_patterns
feeling_of_guilt,feeling_responsible,feeling_remorse,self_blame,feeling_bad_about_myself,regretful_feelings,guilty_mindset,burdened_by_guilt,ashamed_feelings,feeling_faulty,remorseful_thoughts
decreased_need_for_sleep,reduced_sleep_requirement,less_sleep_needed,sleeping_less_than_usual,decreased_sleep_duration,needing_fewer_hours_of_sleep,sleeping_less_than_normal,shortened_sleep_time,less_than_normal_sleep,less_sleep_than_before,reduced_sleep_hours
disorganized_thinking,confused_thoughts,scattered_thinking,jumbled_ideas,chaotic_thinking,unclear_thought_process,trouble_focusing_thoughts,fragmented_thoughts,incoherent_thinking,racing_and_disjointed_thoughts,muddled_mind
avoidance_of_social_activity,staying_away_from_social_events,skipping_social_gatherings,avoiding_people,withdrawing_from_social_life,social_withdrawal,not_participating_in_social_activities,fear_of_social_interaction,isolating_myself_from_others,avoiding_social_situations,shunning_social_events
repetitve_behaviors,repetitive_actions,compulsive_behaviors,repeated_routines,ritualistic_behaviors,repeated_movements,habit_repetition,recurring_behaviors,patterned_actions,obsessive_behaviors,repetitive_motions
sudden_intense_fear,sudden_panic,intense_fright,unexpected_fear,sudden_terror,overwhelming_fear,acute_anxiety_attack,sudden_fear_response,rapid_fear_reaction,sudden_dread,abrupt_fright
difficulty_functioning_in_daily_life,trouble_managing_daily_tasks,struggling_with_everyday_activities,impaired_daily_functioning,difficulty_with_routine_tasks,challenges_in_daily_living,problems_handling_daily_responsibilities,reduced_ability_to_function,everyday_functioning_issues,trouble_carrying_out_daily_duties,difficulty_with_normal_activities
intense_fear_of_social_situations,extreme_social_anxiety,overwhelming_fear_of_social_events,severe_fear_of_interacting_with_people,panic_in_social_settings,intense_social_phobia,fear_of_being_judged_in_social_situations,strong_fear_of_social_interaction,dread_of_social_gatherings,anxiety_in_social_scenarios,fear_of_meeting_people
low_self-esteem,poor_self_image,lack_of_self_confidence,feeling_insecure,low_self_worth,negative_self_view,poor_self_opinion,self_doubt,feeling_unworthy,low_self_respect,diminished_self_value
extreme_restriction_of_food_intake,severe_food_restriction,very_limited_eating,drastically_reduced_food_intake,extreme_diet_limiting,minimal_food_consumption,severe_calorie_restriction,eating_very_little,restricted_food_intake,very_low_food_intake,intense_food_limitation
intense_fear_of_abandonment,fear_of_being_left,abandonment_anxiety,fear_of_losing_close_ones,extreme_fear_of_rejection,constant_worry_of_abandonment,afraid_of_being_alone,fear_of_relationship_loss,anxiety_about_being_left_behind,strong_fear_of_abandonment,fear_of_emotional_separation
shortness_of_breath,difficulty_breathing,trouble_catching_breath,feeling_breathless,labored_breathing,hard_to_breathe,breathlessness,shallow_breathing,tight_chest_with_breathing,gasping_for_air,unable_to_breathe_properly
depressive_symptoms,signs_of_depression,symptoms_of_depression,feeling_depressed,depression_related_signs,low_mood_signs,emotional_downturn,persistent_sadness,depressed_behavior,mental_health_decline,psychological_distress
impulsive_behaviors,acting_without_thinking,rash_decisions,spontaneous_actions,uncontrollable_urges,reckless_behavior,sudden_reactions,compulsive_actions,hasty_behaviors,poor_impulse_control,doing_things_on_a_whim
feeling_disconnected_from_surroundings,feeling_detached_from_reality,sense_of_unreality,disconnected_from_environment,out_of_touch_with_surroundings,surreal_experiences,feeling_like_in_a_dream,altered_perception_of_environment,environment_feels_unreal,not_fully_present,feeling_separated_from_reality
avoid_eating_in_public,reluctant_to_eat_in_front_of_others,fear_of_eating_in_public,avoiding_public_meals,uncomfortable_eating_around_people,skipping_meals_in_public,social_anxiety_while_eating,not_eating_with_others,anxious_about_public_eating,preferring_to_eat_alone,avoiding_eating_in_crowds
hypervigilance,extreme_alertness,heightened_sensitivity,constant_watchfulness,excessive_caution,overalert_state,on_edge_all_the_time,intense_vigilance,always_on_guard,excessive_attention_to_surroundings,heightened_awareness
fear_of_losing,fear_of_loss,anxiety_about_losing,afraid_of_failure,worry_about_losing,fear_of_being_left_behind,fear_of_missing_out,concern_about_losing_control,scared_to_lose,fear_of_defeat,fear_of_loss_of_something_important
sudden_shift_in_mood,rapid_mood_changes,quick_emotional_shifts,sudden_emotional_swings,fast_mood_swings,abrupt_mood_changes,unexpected_mood_shifts,rapid_emotional_changes,sudden_feeling_changes,mood_swings,instant_mood_fluctuations
spending_a_lot_time_recovering_from_the_substance,prolonged_recovery_time_after_use,lots_of_time_spent_recovering,extended_recovery_period,long_time_to_recover_from_substance,time_consumed_by_recovery,slow_recovery_after_substance_use,significant_recovery_time_needed,recovery_takes_a_long_time,spending_hours_recovering,extended_rehabilitation_time
required_perfectness,need_for_perfection,perfectionism,striving_for_flawlessness,desire_to_be_perfect,obsession_with_perfection,intolerance_for_mistakes,high_standard_demand,compulsive_perfectionism,perfectionist_tendencies,wanting_everything_perfect
difficulty_making_eye_contact,avoiding_eye_contact,trouble_looking_people_in_eyes,uncomfortable_with_eye_contact,not_maintaining_eye_contact,difficulty_holding_eye_contact,shying_away_from_eye_contact,limited_eye_contact,lack_of_eye_contact,unable_to_make_eye_contact,avoiding_direct_gaze
frequently_losing_items,always_losing_things,often_misplacing_items,cannot_keep_track_of_my_stuff,things_go_missing_all_the_time,losing_belongings_frequently,often_forgetting_where_i_put_things,misplacing_things_regularly,losing_things_all_the_time,stuff_gets_lost_often,trouble_keeping_track_of_items
extreme_sensitivity_to_criticism,overly_sensitive_to_criticism,reacts_strongly_to_criticism,easily_hurt_by_criticism,high_reactivity_to_criticism,difficulty_handling_criticism,fragile_self_esteem_against_criticism,sensitive_to_negative_feedback,strong_emotional_reaction_to_criticism,criticism_causes_distress,easily_offended_by_criticism
physical_and_psychological_problems,physical_and_mental_issues,health_problems_both_body_and_mind,combined_physical_and_mental_problems,bodily_and_psychological_symptoms,physical_and_emotional_difficulties,mind_and_body_problems,psychological_and_physical_distress,dual_health_issues,physical_and_mental_health_challenges,somatic_and_psychological_problems
inability_to_feel_pleasure,unable_to_feel_joy,lack_of_pleasure,no_interest_in_enjoyable_activities,can’t_feel_happiness,numb_to_pleasure,pleasureless_feeling,emotional_flatness,no_enjoyment_in_life,joylessness,disconnected_from_positive_emotions
identity_disturbance,confused_about_self,unstable_identity,lost_sense_of_self,shifting_self_image,not_sure_who_i_am,identity_confusion,inconsistent_self_perception,changing_personality,unsure_of_identity,weak_sense_of_identity
difficulty_sustaining_attention,trouble_focusing,can't_pay_attention,short_attention_span,easily_loses_focus,hard_to_concentrate,attention_drift,loses_focus_quickly,poor_concentration,difficulty_staying_focused,mind_keeps_wandering
neglecting_responsibilites,avoiding_tasks,skipping_duties,ignoring_responsibilities,failing_to_follow_through,not_completing_tasks,procrastinating_important_work,missing_obligations,forgetting_chores,neglecting_daily_tasks,not_meeting_commitments
neglect_of_personal_hygiene,poor_personal_hygiene,not_bathing_regularly,skipping_showers,not_brushing_teeth,unkempt_appearance,lack_of_self_care,dirty_clothes,not_grooming,bad_body_odor,not_maintaining_cleanliness
impulsivity,acting_without_thinking,reckless_behavior,spontaneous_decisions,poor_impulse_control,doing_things_on_a_whim,sudden_decisions,hasty_actions,lack_of_self_control,making_quick_choices,unpredictable_actions
excessive_fear_of_embarrassment,fear_of_being_embarrassed,scared_of_making_mistakes,afraid_of_public_judgment,worry_about_humiliation,anxiety_about_being_watched,nervous_about_speaking_in_public,self_conscious_all_the_time,fear_of_looking_foolish,fear_of_negative_attention,overthinking_social_interactions
change_body_image,unhappy_with_body_appearance,body_image_concerns,feeling_fat,feeling_thin,dislike_my_body,worried_about_body_shape,feeling_ugly,uncomfortable_in_own_skin,insecure_about_appearance,distorted_body_image
loss_of_pleasure,unable_to_enjoy_things,no_interest_in_hobbies,lack_of_pleasure,not_finding_fun,activities_feel_boring,lost_interest_in_life,can’t_enjoy_anything,nothing_makes_me_happy,emotionally_numb,no_enjoyment_in_activities
unwanted_thoughts,intrusive_thoughts,disturbing_thoughts,obsessive_thoughts,negative_thoughts,racing_thoughts,uncontrollable_thoughts,thoughts_i_can’t_control,scary_thoughts,unwanted_images_in_mind,looping_thoughts
significant_distress_in_daily_life,severe_stress_in_daily_life,high_levels_of_distress,daily_life_difficulty,intense_emotional_distress,major_life_struggles,overwhelmed_in_daily_activities,constant_life_stress,trouble_handling_daily_life,emotional_burden_in_everyday_life,difficulty_managing_daily_stress
unstable_interpersonal_relationships,rocky_relationships,difficult_relationships,unstable_social_connections,troubled_interactions,inconsistent_relationships,problematic_social_bonds,conflict_prone_relationships,fragile_relationships,frequent_relationship_problems,emotionally_turbulent_relationships
poor_organizational_skill,difficulty_organizing,bad_time_management,trouble_planning,poor_task_management,disorganized_behavior,lack_of_structure,messy_and_unorganized,trouble_prioritizing,inefficient_planning,weak_organizational_ability
fidgeting,restless_movement,constant_moving,unable_to_stay_still,nervous_motions,tapping_fingers,shaking_legs,jittery_behavior,restless_behavior,repetitive_movement,can't_sit_still
marked_distress_out_of_proportion_to_the_severity_of_the_stressor,extreme_reaction_to_minor_issue,overwhelming_distress_from_small_problem,intense_emotion_over_small_matters,exaggerated_response_to_stress,excessive_distress_for_small_stressors,overreacting_to_normal_situations,disproportionate_emotional_response,big_reaction_to_minor_trigger,intense_upset_over_little_things,strong_emotions_from_minor_events
significant_impairment_in_social_functioning,trouble_interacting_with_others,difficulty_socializing,poor_social_skills,struggling_in_social_situations,avoiding_social_interaction,social_dysfunction,unable_to_connect_with_people,problems_in_relationships,discomfort_in_social_settings,issues_with_social_behavior
frequent_crying,crying_often,uncontrollable_tears,excessive_crying,crying_spells,emotional_breakdowns,persistent_crying,tearful_episodes,regular_crying,frequent_tearfulness,crying_without_reason
excessive_worry_related_to_the_stressor,constant_worry_about_the_situation,overwhelming_concern_about_the_issue,too_much_worry_about_the_problem,nonstop_thinking_about_the_stressor,obsessing_over_the_issue,intense_anxiety_about_the_event,persistent_worry_due_to_the_situation,stressed_about_specific_event,trouble_letting_go_of_worry,fixated_on_the_problem
changes_in_appetite,loss_of_appetite,increased_appetite,eating_more_than_usual,eating_less_than_normal,appetite_fluctuations,irregular_eating_habits,sudden_hunger_changes,lack_of_interest_in_food,overeating,not_feeling_hungry
insomnia,trouble_sleeping,can't_sleep,lack_of_sleep,sleep_difficulty,staying_awake_at_night,sleepless_nights,disturbed_sleep,unable_to_fall_asleep,wake_up_frequently,poor_sleep_quality
anger_outbrusts,sudden_anger,explosive_tantrums,uncontrollable_rage,frequent_yelling,irritability_attacks,bursts_of_anger,aggressive_reactions,emotional_outbursts,lashing_out,quick_temper
withdrawal_from_social_support,avoiding_family_and_friends,cutting_off_social_connections,isolating_from_loved_ones,staying_away_from_people,no_longer_seeking_support,refusing_social_help,distancing_from_support_system,lack_of_social_interaction,reduced_contact_with_others,avoiding_social_support
feelings_of_hopelessness,sense_of_despair,feeling_no_way_out,lack_of_hope,everything_feels_pointless,nothing_will_get_better,constant_hopeless_thoughts,feeling_defeated,giving_up_on_life,no_light_at_the_end,trapped_in_darkness
difficulty_falling_asleep,trouble_sleeping,can't_fall_asleep,sleep_onset_problem,takes_long_to_sleep,restless_before_sleep,lying_awake_at_night,unable_to_sleep,delayed_sleep_start,tossing_and_turning,staying_awake_in_bed
difficulty_staying_asleep,waking_up_frequently,can't_stay_asleep,broken_sleep,disturbed_sleep,restless_sleep,interrupted_sleep,frequent_night_awakenings,poor_sleep_continuity,sleep_disruption,waking_up_midnight
